(___),,
(__<)_,☆ ～('▽^人),joy
�(*___),ヽ(*⌒▽⌒*)ﾉ,joy
(> _ <),╰(*´︶`*)╯,joy
_(�__�_)_,(っ˘ω˘ς ),joy
(_ �__�_)_,٩(◕‿◕)۶,joy
_,(〃＾▽＾〃),joy
_:.__.:_,｡ﾟ(TヮT)ﾟ｡,joy
_,(๑˃ᴗ˂)ﻭ,joy
(___*),°˖✧◝(⁰▿⁰)◜✧˖°,joy
"�*_,�*:._(___)/$:*.�_* _",٩(◕‿◕｡)۶,joy
,<(￣︶￣)>,joy
,(￣ω￣),joy
,ヽ(*・ω・)ﾉ,joy
,(*´▽`*),joy
,(≧◡≦),joy
,(⌒ω⌒),joy
,(*^‿^*),joy
,(*≧ω≦*),joy
,ヽ(o＾▽＾o)ノ,joy
,(✧ω✧),joy
,(￣▽￣),joy
,(☆ω☆),joy
,＼(＾▽＾)／,joy
,\(^ヮ^)/,joy
,o( ❛ᴗ❛ )o,joy
,(b ᵔ▽ᵔ)b,joy
,(*꒦ິ꒳꒦ີ),joy
,(ﾉ´ з `)ノ,love
,(♡-_-♡),love
,(─‿‿─)♡,love
,(´ ω `♡),love
,(ღ˘⌣˘ღ),love
,(´• ω •`) ♡,love
,╰(*´︶`*)╯♡,love
,(≧◡≦) ♡,love
,♡ (˘▽˘>ԅ( ˘⌣˘),love
,σ(≧ε≦σ) ♡,love
,(˘∀˘)/(μ‿μ) ❤,love
,Σ>―(〃°ω°〃)♡→,love
,(*^^*)♡,love
,ヽ(♡‿♡)ノ,love
,(*♡∀♡),love
,(◕‿◕)♡,love
,♡(｡- ω -),love
,(´｡• ω •｡`) ♡,love
,(♡˙︶˙♡),love
,(*¯ ³¯*)♡,love
,(/^-^(^ ^*)/ ♡,love
,♡ (￣З￣),love
,(´♡‿♡`),love
,(♡μ_μ),love
,(￣ε￣＠),love
,(´｡• ᵕ •｡`) ♡,love
,♡( ◡‿◡ ),love
,(♡°▽°♡),love
,(´ ε ` )♡,love
,(*˘︶˘*).｡.:*♡,love
,(⌒▽⌒)♡,love
,( ˘⌣˘)♡(˘⌣˘ ),love
,♡ (⇀ 3 ↼),love
,❤ (ɔˆз(ˆ⌣ˆc),love
,☆⌒ヽ(*'､^*)chu,love
,( ´ ∀ `)ノ～ ♡,love
,(｡・//ε//・｡),love
,(/▽＼*)｡o○♡,love
,♡ ～('▽^人),love
,( ´ ▽ ` ).｡ｏ♡,love
,♡＼(￣▽￣)／♡,love
,(っ˘з(˘⌣˘ ) ♡,love
,٩(♡ε♡)۶,love
,(❤ω❤),love
,(°◡°♡),love
,(o^ ^o),Embarrassment
,(⌒_⌒;),Embarrassment
,(*/_＼),Embarrassment
,( ◡‿◡ *),Embarrassment
,(//ω//),Embarrassment
,(￣▽￣*)ゞ,Embarrassment
,(„ಡωಡ„),Embarrassment
,(*/ω＼),Embarrassment
,(*/。＼),Embarrassment
,(*ﾉωﾉ),Embarrassment
,(ᵔ.ᵔ),Embarrassment
,(ノ*°▽°*),Embarrassment
,(⁄ ⁄•⁄ω⁄•⁄ ⁄),Embarrassment
,(ง ื▿ ื)ว,Embarrassment
,(*μ_μ),Embarrassment
,(//▽//),Embarrassment
,(*ﾉ▽ﾉ),Embarrassment
,(⁄ ⁄>⁄ ▽ ⁄<⁄ ⁄),Embarrassment
,(o-_-o),Embarrassment
,(*ﾉ∀`*),Embarrassment
,(*^.^*),Embarrassment
,(*/▽＼*),Embarrassment
,(ノ_<。)ヾ(´ ▽ ` ),sympathy
,ヽ(￣ω￣(。。 )ゝ,sympathy
,(ﾉ_；)ヾ(´ ∀ ` ),sympathy
,(´-ω-`( _ _ ),sympathy
,｡･ﾟ･(ﾉД`)ヽ(￣ω￣ ),sympathy
,(*´ I `)ﾉﾟ(ﾉД｀ﾟ)ﾟ｡,sympathy
,(; ω ; )ヾ(´∀`* ),sympathy
,(っ´ω`)ﾉ(╥ω╥),sympathy
,ρ(- ω -、)ヾ(￣ω￣; ),sympathy
,ヽ(~_~(・_・ )ゝ,sympathy
,(*´ー)ﾉ(ノд`),sympathy
,(ｏ・_・)ノ”(ノ_<、),sympathy
,(＃＞＜),dissatisfaction
,(；￣Д￣),dissatisfaction
,(￢_￢;),dissatisfaction
,(＾＾＃),dissatisfaction
,(￣︿￣),dissatisfaction
,ヾ( ￣O￣)ツ,dissatisfaction
,(ᗒᗣᗕ)՞,dissatisfaction
,☆ｏ(＞＜；)○,dissatisfaction
,(＃￣0￣),dissatisfaction
,(」°ロ°)」,dissatisfaction
,(￣ヘ￣),dissatisfaction
,(--_--),dissatisfaction
,o(>< )o,dissatisfaction
,(；⌣̀_⌣́),dissatisfaction
,(￣□￣」),dissatisfaction
,(＞ｍ＜),dissatisfaction
,(︶︹︺),dissatisfaction
,(＞﹏＜),dissatisfaction
,(⇀‸↼‶),dissatisfaction
,(눈_눈),dissatisfaction
,(￣ ￣|||),dissatisfaction
,(＃￣ω￣),dissatisfaction
,(〃＞＿＜;〃),dissatisfaction
,<(￣ ﹌ ￣)>,dissatisfaction
,凸(￣ヘ￣),dissatisfaction
,(」＞＜)」,dissatisfaction
,(＃`Д´),anger
,(・`ω´・),anger
,( `ε´ ),anger
,(ﾒ` ﾛ ´),anger
,Σ(▼□▼メ),anger
,(҂ `з´ ),anger
,٩(╬ʘ益ʘ╬)۶,anger
,↑_(ΦwΦ)Ψ,anger
,(ﾉಥ益ಥ)ﾉ,anger
,(`皿´＃),anger
,(`ー´),anger
,ψ( ` ∇ ´ )ψ,anger
,(╬`益´),anger
,(°ㅂ°╬),anger
,(‡▼益▼),anger
,(╬ Ò﹏Ó),anger
,←~(Ψ▼ｰ▼)∈,anger
,( ` ω ´ ),anger
,ヽ(`⌒´メ)ノ,anger
,ヾ(`ヘ´)ﾉﾞ,anger
,┌∩┐(◣_◢)┌∩┐,anger
,ψ(▼へ▼メ)～→,anger
,(҂` ﾛ ´)凸,anger
,＼＼٩(๑`^´๑)۶／／,anger
,୧((#Φ益Φ#))୨,anger
,ヽ( `д´*)ノ,anger
,凸(`△´＃),anger
,ヽ(‵﹏´)ノ,anger
,凸( ` ﾛ ´ )凸,anger
,(ノ°益°)ノ,anger
,((╬◣﹏◢)),anger
,(凸ಠ益ಠ)凸,anger
,٩(ఠ益ఠ)۶,anger
,(ノ_<。),sadness
,( ╥ω╥ ),sadness
,(／ˍ・、),sadness
,(つω`｡),sadness
,(T_T),sadness
,o(〒﹏〒)o,sadness
,(μ_μ),sadness
,o(TヘTo),sadness
,( ﾟ，_ゝ｀),sadness
,(-_-),sadness
,(╯_╰),sadness
,(ノ_<、),sadness
,(｡T ω T｡),sadness
,(>_<),sadness
,(｡•́︿•̀｡),sadness
,(ﾉД`),sadness
,( ; ω ; ),sadness
,(个_个),sadness
,.･ﾟﾟ･(／ω＼)･ﾟﾟ･.,sadness
,.｡･ﾟﾟ･(＞_＜)･ﾟﾟ･｡.,sadness
,｡ﾟ(｡ﾉωヽ｡)ﾟ｡,sadness
,･ﾟ･(｡>ω<｡)･ﾟ･,sadness
,｡ﾟ･ (>﹏<) ･ﾟ｡,sadness
,,sadness
,。゜゜(´Ｏ`) ゜゜。,sadness
,｡･ﾟﾟ*(>д<)*ﾟﾟ･｡,sadness
,｡･ﾟ(ﾟ><ﾟ)ﾟ･｡,sadness
,(´-ω-`),sadness
,(╥_╥),sadness
,(╥﹏╥),sadness
,(ﾉω･､),sadness
,(っ˘̩╭╮˘̩)っ,sadness
,(ಥ﹏ಥ),sadness
,(-ω-、),sadness
,(｡╯︵╰｡),sadness
,"(╯︵╰,)",sadness
,~(>_<~),pain
,(×_×),pain
,(×﹏×),pain
,☆⌒(> _ <),pain
,(x_x),pain
,☆(＃××),pain
,☆⌒(>。<),pain
,(×_×)⌒☆,pain
,(＋_＋),pain
,(☆_@),pain
,(x_x)⌒☆,pain
,[ ± _ ± ],pain
,(ノωヽ),fear
,(″ロ゛),fear
,(/ω＼),fear
,(((＞＜))),fear
,(／。＼),fear
,(;;;*_*),fear
,(/_＼),fear
,{{ (>_<) }},fear
,..・ヾ(。＞＜)シ,fear
,＼(〇_ｏ)／,fear
,Σ(°△°|||)︴,fear
,〣( ºΔº )〣,fear
,(ﾉ_ヽ),fear
,(・人・),fear
,〜(＞＜)〜,fear
,＼(º □ º l|l)/,fear
,┐(￣ヘ￣)┌,indifference
,┐(￣～￣)┌,indifference
,┐( ´ д ` )┌,indifference
,╮(︶▽︶)╭,indifference
,ヽ(ー_ー )ノ,indifference
,ヽ(￣～￣　)ノ,indifference
,┐(︶▽︶)┌,indifference
,╮(︶︿︶)╭,indifference
,╮( ˘ ､ ˘ )╭,indifference
,ヽ(´ー` )┌,indifference
,╮(￣_￣)╭,indifference
,╮(￣～￣)╭,indifference
,┐(￣∀￣)┌,indifference
,┐( ˘_˘ )┌,indifference
,┐(‘～` )┌,indifference
,ヽ(ˇヘˇ)ノ,indifference
,¯\_(ツ)_/¯,indifference
,┐( ˘ ､ ˘ )┌,indifference
,╮( ˘_˘ )╭,indifference
,ヽ(　￣д￣)ノ,indifference
,(￣ω￣;),confusion
,┐('～`;)┌,confusion
,(・_・;),confusion
,(＠_＠),confusion
,(•ิ_•ิ)?,confusion
,"ლ(¯ロ¯""ლ)",confusion
,σ(￣、￣〃),confusion
,(・_・ヾ,confusion
,(￣_￣)・・・,confusion
,(・・;)ゞ,confusion
,(◎ ◎)ゞ,confusion
,(-_-;)・・・,confusion
,┐(￣ヘ￣;)┌,confusion
,(￣.￣;),confusion
,(・・ ) ?,confusion
,ლ(ಠ_ಠ ლ),confusion
,(￣～￣;),confusion
,(〃￣ω￣〃ゞ,confusion
,╮(￣ω￣;)╭,confusion
,Σ(￣。￣ﾉ),confusion
,(ーー;),confusion
,(￢_￢),doubt
,(¬_¬ ),doubt
,(↼_↼),doubt
,(→_→),doubt
,(←_←),doubt
,(⇀_⇀),doubt
,(￢ ￢),doubt
,(¬ ¬ ),doubt
,(￢‿￢ ),doubt
,(¬‿¬ ),doubt
,w(°ｏ°)w,surprise
,(⊙_⊙),surprise
,(°ロ°) !,surprise
,∑(O_O;),surprise
,ヽ(°〇°)ﾉ,surprise
,(o_O),surprise
,(o_O) !,surprise
,Σ(°ロ°),surprise
,(O.O),surprise
,Σ(□_□),surprise
,Σ(O_O),surprise
,(O_O;),surprise
,(□_□),surprise
,(*・ω・)ﾉ,greeting
,(^-^*)/,greeting
,ヾ(*'▽'*),greeting
,(^０^)ノ,greeting
,(*°ｰ°)ﾉ,greeting
,(￣ω￣)/,greeting
,(≧▽≦)/,greeting
,(￣▽￣)ノ,greeting
,(＠´ー`)ﾉﾞ,greeting
,＼(⌒▽⌒),greeting
,~ヾ(・ω・),greeting
,(・_・)ノ,greeting
,( ´ ω ` )ノﾞ,greeting
,(✧∀✧)/,greeting
,(°▽°)/,greeting
,(´• ω •`)ﾉ,greeting
,ヾ(☆▽☆),greeting
,(・∀・)ノ,greeting
,(o´ω`o)ﾉ,greeting
,(⌒ω⌒)ﾉ,greeting
,(o´▽`o)ﾉ,greeting
,( ´ ∀ ` )ﾉ,greeting
,( ° ∀ ° )ﾉﾞ,greeting
,( ´ ▽ ` )ﾉ,greeting
,ヾ(^ω^*),greeting
,ヾ(☆'∀'☆),greeting
,(o^ ^o)/,greeting
,(￣▽￣)/,greeting
,(づ￣ ³￣)づ,hugging
,(⊃｡•́‿•̀｡)⊃,hugging
,⊂(´• ω •`⊂),hugging
,(つ≧▽≦)つ,hugging
,(つ . •́ _ʖ •̀ .)つ,hugging
,⊂(･ω･*⊂),hugging
,(つ✧ω✧)つ,hugging
,(っಠ‿ಠ)っ,hugging
,⊂(￣▽￣)⊃,hugging
,(づ ◕‿◕ )づ,hugging
,(づ◡﹏◡)づ,hugging
,⊂( ´ ▽ ` )⊃,hugging
,(^_~),winking
,(>ω^),winking
,(^_<)〜☆,winking
,(^_<),winking
,( ﾟｏ⌒),winking
,(~人^),winking
,(^人<)〜☆,winking
,(^_−)☆,winking
,(^_-)≡☆,winking
,(^_-),winking
,☆⌒(≧▽​° ),winking
,(･ω<)☆,winking
,(^ω~),winking
,( -_・),winking
,☆⌒(ゝ。∂),winking
,m(_ _)m,Apologizing
,人(_ _*),Apologizing
,(シ. .)シ,Apologizing
,(シ_ _)シ,Apologizing
,(*_ _)人,Apologizing
,m(. .)m,Apologizing
,m(_ _;m),Apologizing
,<(_ _)>,Apologizing
,(m;_ _)m,Apologizing
,ヾ(´〇`)ﾉ♪♪♪,dance
,ヽ(o´∀`)ﾉ♪♬,dance
,♪♬((d⌒ω⌒b))♬♪,dance
,└(＾＾)┐,dance
,(￣▽￣)/♫•*¨*•.¸¸♪,dance
,ヾ(⌐■_■)ノ♪,dance
,乁( • ω •乁),dance
,♬♫♪◖(● o ●)◗♪♫♬,dance
,ヘ(￣ω￣ヘ),dance
,(ﾉ≧∀≦)ﾉ,dance
,└(￣-￣└)),dance
,┌(＾＾)┘,dance
,(^_^♪),dance
,(〜￣△￣)〜,dance
,(｢• ω •)｢,dance
,( ˘ ɜ˘) ♬♪♫,dance
,(〜￣▽￣)〜,dance
,♪ヽ(^^ヽ)♪,dance
,((┘￣ω￣)┘,dance
,＼(￣▽￣)＼,dance
,(~˘▽˘)~,dance
,(~‾▽‾)~,dance
,⁽⁽◝( • ω • )◜⁾⁾,dance
,♪♪♪ ヽ(ˇ∀ˇ )ゞ,dance
,〜(￣▽￣〜),dance
,♪(/_ _ )/♪,dance
,√(￣‥￣√),dance
,／(￣▽￣)／,dance
,~(˘▽˘~),dance
,~(˘▽˘)~,dance
,✺◟( • ω • )◞✺,dance
,(ノ ˘_˘)ノ　ζ|||ζ　ζ|||ζ　ζ|||ζ,magic
,(ノ°∀°)ノ⌒･*:.｡. .｡.:*･゜ﾟ･*☆,magic
,(⊃｡•́‿•̀｡)⊃━✿✿✿✿✿✿,magic
,(ﾉ≧∀≦)ﾉ ‥…━━━★,magic
,╰( ͡° ͜ʖ ͡° )つ──☆*:・ﾟ,magic
,(∩ᄑ_ᄑ)⊃━☆ﾟ*･｡*･:≡( ε:),magic
,"(ﾉ>ω<)ﾉ :｡･:*:･ﾟ’★,｡･:*:･ﾟ’☆",magic
,(＃￣□￣)o━∈・・━━━━,magic
,(/￣ー￣)/~~☆’.･.･:★’.･.･:☆,magic
,ヽ( ･∀･)ﾉ_θ彡☆Σ(ノ `Д´)ノ,fight
,(*`0´)θ☆(メ°皿°)ﾉ,fight
,(; -_-)――――――C<―_-),fight
,ヽ(>_<ヽ) ―⊂|=0ヘ(^‿^ ),fight
,(҂` ﾛ ´)︻デ═一 ＼(º □ º l|l)/,fight
,/( .□.)＼ ︵╰(°益°)╯︵ /(.□. /),fight
,(`⌒*)O-(`⌒´Q),fight
,(っ•﹏•)っ ✴==≡눈٩(`皿´҂)ง,fight
,(*´∇`)┌θ☆(ﾉ>_<)ﾉ,fight
,(o¬‿¬o )...☆ﾐ(*x_x),fight
,＜( ￣︿￣)︵θ︵θ︵☆(＞口＜－),fight
,ヘ(>_<ヘ) ￢o(￣‿￣ﾒ),fight
,(╯°Д°)╯︵ /(.□ . ＼),fight
,(ﾉ-.-)ﾉ….((((((((((((●~* ( >_<),fight
,(((ง’ω’)و三 ง’ω’)ڡ≡　☆⌒ﾐ((x_x),fight
,( ￣ω￣)ノﾞ⌒☆ﾐ(o _ _)o,fight
,(╬￣皿￣)=○＃(￣#)３￣),fight
,(￣ε(#￣)☆╰╮o(￣▽￣///),fight
,",,((( ￣□)_／ ＼_(○￣ ))),,",fight
,(¬_¬'')ԅ(￣ε￣ԅ),fight
,!!(ﾒ￣ ￣)_θ☆°0°)/,fight
,(งಠ_ಠ)ง　σ( •̀ ω •́ σ),fight
,ヾ(・ω・)メ(・ω・)ノ,friends
,(*^ω^)八(⌒▽⌒)八(-‿‿- )ヽ,friends
,ヽ( ⌒ω⌒)人(=^‥^= )ﾉ,friends
,｡*:☆(・ω・人・ω・)｡:゜☆｡,friends
,(°(°ω(°ω°(☆ω☆)°ω°)ω°)°),friends
,(っ˘▽˘)(˘▽˘)˘▽˘ς),friends
,(*＾ω＾)人(＾ω＾*),friends
,ヽ(∀° )人( °∀)ノ,friends
,＼(＾∀＾)メ(＾∀＾)ノ,friends
,ヽ(≧◡≦)八(o^ ^o)ノ,friends
,o(^^o)(o^^o)(o^^o)(o^^)o,friends
,ヾ(・ω・`)ノヾ(´・ω・)ノ゛,friends
,(((*°▽°*)八(*°▽°*))),friends
,٩(๑･ิᴗ･ิ)۶٩(･ิᴗ･ิ๑)۶,friends
,ヽ( ⌒o⌒)人(⌒-⌒ )ﾉ,friends
,ヾ(￣ー￣(≧ω≦*)ゝ,friends
,(*・∀・)爻(・∀・*),friends
,(((￣(￣(￣▽￣)￣)￣))),friends
,Ψ( `∀)(∀´ )Ψ,friends
,☆ヾ(*´・∀・)ﾉヾ(・∀・`*)ﾉ☆,friends
,(☞°ヮ°)☞ ☜(°ヮ°☜),friends
,＼(▽￣ \ (￣▽￣) / ￣▽)／,friends
,(°)#))<<,fish
,(°))<<,fish
,<・ )))><<,fish
,>^)))<～～,fish
,ζ°)))彡,fish
,≧( ° ° )≦,fish
,>°))))彡,fish
,(￣Θ￣),bird
,＼( ˋ Θ ´ )／,bird
,(`･Θ･´),bird
,(･θ･),bird
,(◉Θ◉),bird
,ヾ(￣◇￣)ノ〃,bird
,( ˋ Θ ´ ),bird
,(・Θ・),bird
,( ´(00)ˋ ),pig
,＼(￣(oo)￣)／,pig
,(￣(ω)￣),pig
,｡ﾟ(ﾟ´(00)`ﾟ)ﾟ｡,pig
,ヽ( ˋ(00)´ )ノ,pig
,(￣(00)￣),pig
,( ´(oo)ˋ ),pig
,(ˆ(oo)ˆ),pig
,／(≧ x ≦)＼,rabbit
,／(=･ x ･=)＼,rabbit
,／(･ × ･)＼,rabbit
,／(^ × ^)＼,rabbit
,／(^ x ^)＼,rabbit
,／(˃ᆺ˂)＼,rabbit
,／(=´x`=)＼,rabbit
,／(＞×＜)＼,rabbit
,∪＾ェ＾∪,dog
,Ｕ^皿^Ｕ,dog
,∪･ω･∪,dog
,ＵＴｪＴＵ,dog
,∪￣-￣∪,dog
,U^ｪ^U,dog
,∪･ｪ･∪,dog
,V●ᴥ●V,dog
,( ´(ｴ)ˋ ),bear
,(￣(ｴ)￣),bear
,⊂(´(ェ)ˋ)⊃,bear
,ʕ •ᴥ• ʔ,bear
,(*￣(ｴ)￣*),bear
,ヽ( ˋ(ｴ)´ )ﾉ,bear
,(/-(ｴ)-＼),bear
,ʕ •̀ ω •́ ʔ,bear
,(／￣(ｴ)￣)／,bear
,(／(ｴ)＼),bear
,ʕ ᵔᴥᵔ ʔ,bear
,ヽ(￣(ｴ)￣)ﾉ,bear
,⊂(￣(ｴ)￣)⊃,bear
,(/°(ｴ)°)/,bear
,ʕ •̀ o •́ ʔ,bear
,(=^･ω･^=),cat
,(= ; ｪ ; =),cat
,(=⌒‿‿⌒=),cat
,(＾• ω •＾),cat
,(=^･ｪ･^=),cat
,(=`ω´=),cat
,(=^ ◡ ^=),cat
,(/ =ω=)/,cat
,(=①ω①=),cat
,(=^‥^=),cat
,(=^-ω-^=),cat
,ฅ(•ㅅ•❀)ฅ,cat
,( =ω=)..nyaa,cat
,( =ノωヽ=),cat
,ヾ(=`ω´=)ノ”,cat
,ฅ(• ɪ •)ฅ,cat
,ଲ(ⓛ ω ⓛ)ଲ,cat
,(^◔ᴥ◔^),cat
,(^=◕ᴥ◕=^),cat
,(^◕ᴥ◕^),cat
,( =ω= ),cat
,(^˵◕ω◕˵^),cat
,[(－－)]..zzZ,sleep
,(￣o￣) zzZZzzZZ,sleep
,(＿ ＿*) Z z z,sleep
,(－_－) zzZ,sleep
,(( _ _ ))..zzzZZ,sleep
,(x . x) ~~zzZ,sleep
,(－ω－) zzZ,sleep
,(－.－)...zzz,sleep
,(∪｡∪)｡｡｡zzZ,sleep
,(￣ρ￣)..zzZZ,sleep
,ε=ε=ε=ε=┌(;￣▽￣)┘,running
,ε===(っ≧ω≦)っ,running
,☆ﾐ(o*･ω･)ﾉ,running
,ε=ε=┌( >_<)┘,running
,ヽ(￣д￣;)ノ=3=3=3,running
,C= C= C= C= C=┌(;・ω・)┘,running
,C= C= C= C=┌( `ー´)┘,running
,。。。ミヽ(。＞＜)ノ,running
,─=≡Σ((( つ＞＜)つ,running
,__φ(．．),writing
,ヾ( `ー´)シφ__,writing
,( ^▽^)ψ__,writing
,( ￣ー￣)φ__,writing
,__〆(￣ー￣ ),writing
,....φ(︶▽︶)φ....,writing
,__φ(．．;),writing
,___〆(・∀・),writing
,__φ(◎◎ヘ),writing
,__φ(。。),writing
,....φ(・∀・*),writing
,( . .)φ__,writing
,|･ω･),hiding
,|д･),hiding
,┬┴┬┴┤･ω･)ﾉ,hiding
,|･д･)ﾉ,hiding
,ﾍ(･_|,hiding
,|_￣)),hiding
,┬┴┬┴┤( ͡° ͜ʖ├┬┴┬┴,hiding
,|ʘ‿ʘ)╯,hiding
,|ω･)ﾉ,hiding
,|▽//),hiding
,┬┴┬┴┤(･_├┬┴┬┴,hiding
,ヾ(･|,hiding
,┬┴┬┴┤(･_├┬┴┬┴,hiding
,|_・),hiding
,(*￣ii￣),Nosebleeding
,(＾〃＾),Nosebleeding
,(￣ﾊ￣*),Nosebleeding
,(￣ ¨ヽ￣),Nosebleeding
,\(￣ﾊ￣),Nosebleeding
,(￣ ;￣),Nosebleeding
,(＾་།＾),Nosebleeding
,(￣ ;;￣),Nosebleeding
,(๑•̀д•́๑),angry
,(ʘ言ʘ╬),angry
,(°言°怒),angry
,щ(`Д´щ),angry
,(๑•̀ㅁ•́๑)✧,angry
,＼`•̀益•́´／,angry
,ヽ(`д´；)/,angry
,(｀Д´),angry
,ヽ(*｀ﾟД´)ﾉ,angry
,(＃｀д´)ﾉ,angry
,(•ˋ _ ˊ•),angry
,ヾ(｀ε´)ﾉ,angry
,WHATщ(ﾟДﾟщ),angry
,(　｀_ゝ´),angry
,(#｀ε´),angry
,(*≧m≦*),angry
,凸(≡д≡),angry
,（￣^￣）凸,angry
,凸(ﾟДﾟ#),angry
,┗─y(ｷ´゜皿`),angry
,(@>皿<),angry
